,name,url,state,district,party,chamber,term-start,term-end
993,"Stauber, Pete",https://www.congress.gov/member/pete-stauber/S001212,Minnesota,8,Republican,House,2019,
994,"Stearns, Cliff",https://www.congress.gov/member/cliff-stearns/S000822,Florida,6,Republican,House,1989,2013
995,"Stefanik, Elise M.",https://www.congress.gov/member/elise-stefanik/S001196,New York,21,Republican,House,2015,
996,"Steil, Bryan",https://www.congress.gov/member/bryan-steil/S001213,Wisconsin,1,Republican,House,2019,
997,"Steube, W. Gregory",https://www.congress.gov/member/w-steube/S001214,Florida,17,Republican,House,2019,
998,"Stevens, Haley M.",https://www.congress.gov/member/haley-stevens/S001215,Michigan,11,Democratic,House,2019,
999,"Stewart, Chris",https://www.congress.gov/member/chris-stewart/S001192,Utah,2,Republican,House,2013,
1000,"Stivers, Steve",https://www.congress.gov/member/steve-stivers/S001187,Ohio,15,Republican,House,2011,
1001,"Stockman, Steve",https://www.congress.gov/member/steve-stockman/S000937,Texas,36,Republican,House,1995,1997
1002,"Stockman, Steve",https://www.congress.gov/member/steve-stockman/S000937,Texas,36,Republican,House,2013,2015
1003,"Strange, Luther",https://www.congress.gov/member/luther-strange/S001202,Alabama,N/A,Republican,Senate,2017,2018
1004,"Stupak, Bart",https://www.congress.gov/member/bart-stupak/S001045,Michigan,1,Democratic,House,1993,2011
1005,"Stutzman, Marlin A.",https://www.congress.gov/member/marlin-stutzman/S001188,Indiana,3,Republican,House,2010,2017
1006,"Sullivan, Dan",https://www.congress.gov/member/dan-sullivan/S001198,Alaska,N/A,Republican,Senate,2015,
1007,"Sullivan, John",https://www.congress.gov/member/john-sullivan/S001155,Oklahoma,1,Republican,House,2002,2013
1008,"Suozzi, Thomas R.",https://www.congress.gov/member/thomas-suozzi/S001201,New York,3,Democratic,House,2017,
1009,"Sutton, Betty",https://www.congress.gov/member/betty-sutton/S001174,Ohio,13,Democratic,House,2007,2013
1010,"Swalwell, Eric",https://www.congress.gov/member/eric-swalwell/S001193,California,15,Democratic,House,2013,
1011,"Takai, Mark",https://www.congress.gov/member/mark-takai/T000473,Hawaii,1,Democratic,House,2015,2016
1012,"Takano, Mark",https://www.congress.gov/member/mark-takano/T000472,California,41,Democratic,House,2013,
1013,"Tanner, John S.",https://www.congress.gov/member/john-tanner/T000038,Tennessee,8,Democratic,House,1989,2011
1014,"Tauscher, Ellen O.",https://www.congress.gov/member/ellen-tauscher/T000057,California,10,Democratic,House,1997,2009
1015,"Taylor, Gene",https://www.congress.gov/member/gene-taylor/T000074,Mississippi,4,Democratic,House,1989,2011
1016,"Taylor, Scott",https://www.congress.gov/member/scott-taylor/T000477,Virginia,2,Republican,House,2017,2019
1017,"Taylor, Van",https://www.congress.gov/member/van-taylor/T000479,Texas,3,Republican,House,2019,
1018,"Teague, Harry",https://www.congress.gov/member/harry-teague/T000466,New Mexico,2,Democratic,House,2009,2011
1019,"Tenney, Claudia",https://www.congress.gov/member/claudia-tenney/T000478,New York,22,Republican,House,2017,2019
1020,"Terry, Lee",https://www.congress.gov/member/lee-terry/T000459,Nebraska,2,Republican,House,1999,2015
1021,"Tester, Jon",https://www.congress.gov/member/jon-tester/T000464,Montana,N/A,Democratic,Senate,2007,
1022,"Thompson, Bennie G.",https://www.congress.gov/member/bennie-thompson/T000193,Mississippi,2,Democratic,House,1993,
1023,"Thompson, Glenn",https://www.congress.gov/member/glenn-thompson/T000467,Pennsylvania,15,Republican,House,2009,
1024,"Thompson, Mike",https://www.congress.gov/member/mike-thompson/T000460,California,5,Democratic,House,1999,
1025,"Thornberry, Mac",https://www.congress.gov/member/william-thornberry/T000238,Texas,13,Republican,House,1995,
1026,"Thune, John",https://www.congress.gov/member/john-thune/T000250,South Dakota,N/A,Republican,Senate,2005,
1027,"Thune, John",https://www.congress.gov/member/john-thune/T000250,South Dakota,Missing,Republican,House,1997,2003
1028,"Tiahrt, Todd",https://www.congress.gov/member/todd-tiahrt/T000260,Kansas,4,Republican,House,1995,2011
1029,"Tiberi, Patrick J.",https://www.congress.gov/member/patrick-tiberi/T000462,Ohio,12,Republican,House,2001,2018
1030,"Tierney, John F.",https://www.congress.gov/member/john-tierney/T000266,Massachusetts,6,Democratic,House,1997,2015
1031,"Tillis, Thom",https://www.congress.gov/member/thomas-tillis/T000476,North Carolina,N/A,Republican,Senate,2015,
1032,"Timmons, William R. IV",https://www.congress.gov/member/william-timmons/T000480,South Carolina,4,Republican,House,2019,
1033,"Tipton, Scott  R.",https://www.congress.gov/member/scott-tipton/T000470,Colorado,3,Republican,House,2011,
1034,"Titus, Dina",https://www.congress.gov/member/dina-titus/T000468,Nevada,1,Democratic,House,2009,2011
1035,"Titus, Dina",https://www.congress.gov/member/dina-titus/T000468,Nevada,1,Democratic,House,2013,
1036,"Tlaib, Rashida",https://www.congress.gov/member/rashida-tlaib/T000481,Michigan,13,Democratic,House,2019,
1037,"Tonko, Paul",https://www.congress.gov/member/paul-tonko/T000469,New York,20,Democratic,House,2009,
1038,"Toomey, Pat",https://www.congress.gov/member/pat-toomey/T000461,Pennsylvania,N/A,Republican,Senate,2011,
1039,"Toomey, Pat",https://www.congress.gov/member/pat-toomey/T000461,Pennsylvania,Missing,Republican,House,1999,2005
1040,"Torres Small, Xochitl",https://www.congress.gov/member/xochitl-torres-small/T000484,New Mexico,2,Democratic,House,2019,
1041,"Torres, Norma J.",https://www.congress.gov/member/norma-torres/T000474,California,35,Democratic,House,2015,
1042,"Towns, Edolphus",https://www.congress.gov/member/edolphus-towns/T000326,New York,10,Democratic,House,1983,2013
1043,"Trahan, Lori",https://www.congress.gov/member/lori-trahan/T000482,Massachusetts,3,Democratic,House,2019,
1044,"Trone, David J.",https://www.congress.gov/member/david-trone/T000483,Maryland,6,Democratic,House,2019,
1045,"Trott, David A.",https://www.congress.gov/member/david-trott/T000475,Michigan,11,Republican,House,2015,2019
1046,"Tsongas, Niki",https://www.congress.gov/member/niki-tsongas/T000465,Massachusetts,3,Democratic,House,2007,2019
1047,"Turner, Michael R.",https://www.congress.gov/member/michael-turner/T000463,Ohio,10,Republican,House,2003,
1048,"Turner, Robert L.",https://www.congress.gov/member/robert-turner/T000471,New York,9,Republican,House,2011,2013
1049,"Udall, Mark",https://www.congress.gov/member/mark-udall/U000038,Colorado,N/A,Democratic,Senate,2009,2015
1050,"Udall, Mark",https://www.congress.gov/member/mark-udall/U000038,Colorado,Missing,Democratic,House,1999,2009
1051,"Udall, Tom",https://www.congress.gov/member/tom-udall/U000039,New Mexico,N/A,Democratic,Senate,2009,
1052,"Udall, Tom",https://www.congress.gov/member/tom-udall/U000039,New Mexico,Missing,Democratic,House,1999,2009
1053,"Underwood, Lauren",https://www.congress.gov/member/lauren-underwood/U000040,Illinois,14,Democratic,House,2019,
1054,"Upton, Fred",https://www.congress.gov/member/fred-upton/U000031,Michigan,6,Republican,House,1987,
1055,"Valadao, David G.",https://www.congress.gov/member/david-valadao/V000129,California,21,Republican,House,2013,2019
1056,"Van Drew, Jefferson",https://www.congress.gov/member/jefferson-van-drew/V000133,New Jersey,2,Republican,House,2019,
1057,"Van Hollen, Chris",https://www.congress.gov/member/chris-van-hollen/V000128,Maryland,N/A,Democratic,Senate,2017,
1058,"Van Hollen, Chris",https://www.congress.gov/member/chris-van-hollen/V000128,Maryland,Missing,Democratic,House,2003,2017
1059,"Vargas, Juan",https://www.congress.gov/member/juan-vargas/V000130,California,51,Democratic,House,2013,
1060,"Veasey, Marc A.",https://www.congress.gov/member/marc-veasey/V000131,Texas,33,Democratic,House,2013,
1061,"Vela, Filemon",https://www.congress.gov/member/filemon-vela/V000132,Texas,34,Democratic,House,2013,
1062,"Velazquez, Nydia M.",https://www.congress.gov/member/nydia-velazquez/V000081,New York,7,Democratic,House,1993,
1063,"Visclosky, Peter J.",https://www.congress.gov/member/peter-visclosky/V000108,Indiana,1,Democratic,House,1985,
1064,"Vitter, David",https://www.congress.gov/member/david-vitter/V000127,Louisiana,N/A,Republican,Senate,2005,2017
1065,"Vitter, David",https://www.congress.gov/member/david-vitter/V000127,Louisiana,Missing,Republican,House,1999,2005
1066,"Voinovich, George V.",https://www.congress.gov/member/george-voinovich/V000126,Ohio,N/A,Republican,Senate,1999,2011
1067,"Wagner, Ann",https://www.congress.gov/member/ann-wagner/W000812,Missouri,2,Republican,House,2013,
1068,"Walberg, Tim",https://www.congress.gov/member/tim-walberg/W000798,Michigan,7,Republican,House,2007,2009
1069,"Walberg, Tim",https://www.congress.gov/member/tim-walberg/W000798,Michigan,7,Republican,House,2011,
1070,"Walden, Greg",https://www.congress.gov/member/greg-walden/W000791,Oregon,2,Republican,House,1999,
1071,"Walker, Mark",https://www.congress.gov/member/mark-walker/W000819,North Carolina,6,Republican,House,2015,
1072,"Walorski, Jackie",https://www.congress.gov/member/jackie-walorski/W000813,Indiana,2,Republican,House,2013,
1073,"Walsh, Joe",https://www.congress.gov/member/joe-walsh/W000811,Illinois,8,Republican,House,2011,2013
1074,"Walsh, John E.",https://www.congress.gov/member/john-walsh/W000818,Montana,N/A,Democratic,Senate,2014,2015
1075,"Walters, Mimi",https://www.congress.gov/member/mimi-walters/W000820,California,45,Republican,House,2015,2019
1076,"Waltz, Michael",https://www.congress.gov/member/michael-waltz/W000823,Florida,6,Republican,House,2019,
1077,"Walz, Timothy J.",https://www.congress.gov/member/timothy-walz/W000799,Minnesota,1,Democratic,House,2007,2019
1078,"Wamp, Zach",https://www.congress.gov/member/zach-wamp/W000119,Tennessee,3,Republican,House,1995,2011
1079,"Warner, Mark R.",https://www.congress.gov/member/mark-warner/W000805,Virginia,N/A,Democratic,Senate,2009,
1080,"Warren, Elizabeth",https://www.congress.gov/member/elizabeth-warren/W000817,Massachusetts,N/A,Democratic,Senate,2013,
1081,"Wasserman Schultz, Debbie",https://www.congress.gov/member/debbie-wasserman-schultz/W000797,Florida,23,Democratic,House,2005,
1082,"Waters, Maxine",https://www.congress.gov/member/maxine-waters/W000187,California,43,Democratic,House,1991,
1083,"Watkins, Steve",https://www.congress.gov/member/steve-watkins/W000824,Kansas,2,Republican,House,2019,
1084,"Watson Coleman, Bonnie",https://www.congress.gov/member/bonnie-watson-coleman/W000822,New Jersey,12,Democratic,House,2015,
1085,"Watson, Diane E.",https://www.congress.gov/member/diane-watson/W000794,California,33,Democratic,House,2001,2011
1086,"Watt, Melvin L.",https://www.congress.gov/member/melvin-watt/W000207,North Carolina,12,Democratic,House,1993,2014
1087,"Waxman, Henry A.",https://www.congress.gov/member/henry-waxman/W000215,California,33,Democratic,House,1975,2015
1088,"Webb, Jim",https://www.congress.gov/member/james-webb/W000803,Virginia,N/A,Democratic,Senate,2007,2013
1089,"Weber, Randy K., Sr.",https://www.congress.gov/member/randy-weber/W000814,Texas,14,Republican,House,2013,
1090,"Webster, Daniel",https://www.congress.gov/member/daniel-webster/W000806,Florida,11,Republican,House,2011,
1091,"Weiner, Anthony D.",https://www.congress.gov/member/anthony-weiner/W000792,New York,9,Democratic,House,1999,2011
1092,"Welch, Peter",https://www.congress.gov/member/peter-welch/W000800,Vermont,Missing,Democratic,House,2007,
1093,"Wenstrup, Brad R.",https://www.congress.gov/member/brad-wenstrup/W000815,Ohio,2,Republican,House,2013,
1094,"West, Allen B.",https://www.congress.gov/member/allen-west/W000807,Florida,22,Republican,House,2011,2013
1095,"Westerman, Bruce",https://www.congress.gov/member/bruce-westerman/W000821,Arkansas,4,Republican,House,2015,
1096,"Westmoreland, Lynn A.",https://www.congress.gov/member/lynn-westmoreland/W000796,Georgia,3,Republican,House,2005,2017
1097,"Wexler, Robert",https://www.congress.gov/member/robert-wexler/W000314,Florida,19,Democratic,House,1997,2010
1098,"Wexton, Jennifer",https://www.congress.gov/member/jennifer-wexton/W000825,Virginia,10,Democratic,House,2019,
1099,"Whitehouse, Sheldon",https://www.congress.gov/member/sheldon-whitehouse/W000802,Rhode Island,N/A,Democratic,Senate,2007,
1100,"Whitfield, Ed",https://www.congress.gov/member/edward-whitfield/W000413,Kentucky,1,Republican,House,1995,2016
1101,"Wicker, Roger F.",https://www.congress.gov/member/roger-wicker/W000437,Mississippi,N/A,Republican,Senate,2007,
1102,"Wicker, Roger F.",https://www.congress.gov/member/roger-wicker/W000437,Mississippi,Missing,Republican,House,1995,2007
1103,"Wild, Susan",https://www.congress.gov/member/susan-wild/W000826,Pennsylvania,7,Democratic,House,2018,
1104,"Williams, Roger",https://www.congress.gov/member/roger-williams/W000816,Texas,25,Republican,House,2013,
1105,"Wilson, Charles A.",https://www.congress.gov/member/charles-wilson/W000801,Ohio,6,Democratic,House,2007,2011
1106,"Wilson, Frederica S.",https://www.congress.gov/member/frederica-wilson/W000808,Florida,24,Democratic,House,2011,
1107,"Wilson, Joe",https://www.congress.gov/member/joe-wilson/W000795,South Carolina,2,Republican,House,2001,
1108,"Wittman, Robert J.",https://www.congress.gov/member/robert-wittman/W000804,Virginia,1,Republican,House,2007,
1109,"Wolf, Frank R.",https://www.congress.gov/member/frank-wolf/W000672,Virginia,10,Republican,House,1981,2015
1110,"Womack, Steve",https://www.congress.gov/member/steve-womack/W000809,Arkansas,3,Republican,House,2011,
1111,"Woodall, Rob",https://www.congress.gov/member/rob-woodall/W000810,Georgia,7,Republican,House,2011,
1112,"Woolsey, Lynn C.",https://www.congress.gov/member/lynn-woolsey/W000738,California,6,Democratic,House,1993,2013
1113,"Wright, Ron",https://www.congress.gov/member/ron-wright/W000827,Texas,6,Republican,House,2019,
1114,"Wu, David",https://www.congress.gov/member/david-wu/W000793,Oregon,1,Democratic,House,1999,2011
1115,"Wyden, Ron",https://www.congress.gov/member/ron-wyden/W000779,Oregon,N/A,Democratic,Senate,1996,
1116,"Wyden, Ron",https://www.congress.gov/member/ron-wyden/W000779,Oregon,Missing,Democratic,House,1981,1996
1117,"Yarmuth, John A.",https://www.congress.gov/member/john-yarmuth/Y000062,Kentucky,3,Democratic,House,2007,
1118,"Yoder, Kevin",https://www.congress.gov/member/kevin-yoder/Y000063,Kansas,3,Republican,House,2011,2019
1119,"Yoho, Ted S.",https://www.congress.gov/member/ted-yoho/Y000065,Florida,3,Republican,House,2013,
1120,"Young, C. W. Bill",https://www.congress.gov/member/c-w-young/Y000031,Florida,13,Republican,House,1971,2013
1121,"Young, David",https://www.congress.gov/member/david-young/Y000066,Iowa,3,Republican,House,2015,2019
1122,"Young, Don",https://www.congress.gov/member/don-young/Y000033,Alaska,Missing,Republican,House,1973,
1123,"Young, Todd",https://www.congress.gov/member/todd-young/Y000064,Indiana,N/A,Republican,Senate,2017,
1124,"Young, Todd",https://www.congress.gov/member/todd-young/Y000064,Indiana,Missing,Republican,House,2011,2017
1125,"Zeldin, Lee M.",https://www.congress.gov/member/lee-zeldin/Z000017,New York,1,Republican,House,2015,
1126,"Zinke, Ryan K.",https://www.congress.gov/member/ryan-zinke/Z000018,Montana,Missing,Republican,House,2015,2017
