name,url,party,state,district,chamber,start,end
"Capps, Lois",https://www.congress.gov/member/lois-capps/C001036,Democratic,California,22,House,1997,2003
"Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Democratic,Massachusetts,7,House,2013,2019
"Capuano, Michael E.",https://www.congress.gov/member/michael-capuano/C001037,Democratic,Massachusetts,8,House,1999,2013
"Carbajal, Salud O.",https://www.congress.gov/member/salud-carbajal/C001112,Democratic,California,24,House,2017,inf
"Cardenas, Tony",https://www.congress.gov/member/tony-cardenas/C001097,Democratic,California,29,House,2013,inf
"Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Democratic,Maryland,0,Senate,2007,inf
"Cardin, Benjamin L.",https://www.congress.gov/member/benjamin-cardin/C000141,Democratic,Maryland,3,House,1987,2007
"Cardoza, Dennis A.",https://www.congress.gov/member/dennis-cardoza/C001050,Democratic,California,18,House,2003,2012
"Carnahan, Russ",https://www.congress.gov/member/russ-carnahan/C001060,Democratic,Missouri,3,House,2005,2013
"Carney, Christopher P.",https://www.congress.gov/member/christopher-carney/C001065,Democratic,Pennsylvania,10,House,2007,2011
"Carney, John C., Jr.",https://www.congress.gov/member/john-carney/C001083,Democratic,Delaware,At Large,House,2011,2017
"Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Democratic,Delaware,0,Senate,2001,inf
"Carper, Thomas R.",https://www.congress.gov/member/thomas-carper/C000174,Democratic,Delaware,At Large,House,1983,1993
"Carson, Andre",https://www.congress.gov/member/andre-carson/C001072,Democratic,Indiana,7,House,2008,inf
"Carter, Earl L. ""Buddy""",https://www.congress.gov/member/earl-carter/C001103,Republican,Georgia,1,House,2015,inf
"Carter, John R.",https://www.congress.gov/member/john-carter/C001051,Republican,Texas,31,House,2003,inf
"Cartwright, Matt",https://www.congress.gov/member/matt-cartwright/C001090,Democratic,Pennsylvania,8,House,2019,inf
"Cartwright, Matt",https://www.congress.gov/member/matt-cartwright/C001090,Democratic,Pennsylvania,17,House,2013,2019
"Case, Ed",https://www.congress.gov/member/ed-case/C001055,Democratic,Hawaii,1,House,2019,inf
"Case, Ed",https://www.congress.gov/member/ed-case/C001055,Democratic,Hawaii,2,House,2002,2007
"Casey, Robert P., Jr.",https://www.congress.gov/member/bob-casey/C001070,Democratic,Pennsylvania,N/A,Senate,2007,inf
"Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Republican,Louisiana,0,Senate,2015,inf
"Cassidy, Bill",https://www.congress.gov/member/bill-cassidy/C001075,Republican,Louisiana,6,House,2009,2015
"Casten, Sean",https://www.congress.gov/member/sean-casten/C001117,Democratic,Illinois,6,House,2019,inf
"Castle, Michael N.",https://www.congress.gov/member/michael-castle/C000243,Republican,Delaware,At Large,House,1993,2011
"Castor, Kathy",https://www.congress.gov/member/kathy-castor/C001066,Democratic,Florida,14,House,2013,inf
"Castor, Kathy",https://www.congress.gov/member/kathy-castor/C001066,Democratic,Florida,11,House,2007,2013
"Castro, Joaquin",https://www.congress.gov/member/joaquin-castro/C001091,Democratic,Texas,20,House,2013,inf
"Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Republican,Ohio,1,House,2011,inf
"Chabot, Steve",https://www.congress.gov/member/steve-chabot/C000266,Republican,Ohio,1,House,1995,2009
"Chaffetz, Jason",https://www.congress.gov/member/jason-chaffetz/C001076,Republican,Utah,3,House,2009,2017
"Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Republican,Georgia,0,Senate,2003,2015
"Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Republican,Georgia,8,House,1995,2003
"Chandler, Ben",https://www.congress.gov/member/ben-chandler/C001058,Democratic,Kentucky,6,House,2004,2013
"Cheney, Liz",https://www.congress.gov/member/liz-cheney/C001109,Republican,Wyoming,At Large,House,2017,inf
"Chiesa, Jeff",https://www.congress.gov/member/jeffrey-chiesa/C001100,Republican,New Jersey,N/A,Senate,2013,2013
"Childers, Travis",https://www.congress.gov/member/travis-childers/C001074,Democratic,Mississippi,1,House,2008,2011
"Christensen, Donna M.",https://www.congress.gov/member/donna-christensen/C000380,Democratic,Virgin Islands,At Large,House,1997,2015
"Chu, Judy",https://www.congress.gov/member/judy-chu/C001080,Democratic,California,27,House,2013,inf
"Chu, Judy",https://www.congress.gov/member/judy-chu/C001080,Democratic,California,32,House,2009,2013
"Cicilline, David N.",https://www.congress.gov/member/david-cicilline/C001084,Democratic,Rhode Island,1,House,2011,inf
"Cisneros, Gilbert Ray, Jr.",https://www.congress.gov/member/gilbert-cisneros/C001123,Democratic,California,39,House,2019,inf
"Clark, Katherine M.",https://www.congress.gov/member/katherine-clark/C001101,Democratic,Massachusetts,5,House,2013,inf
"Clarke, Hansen",https://www.congress.gov/member/hansen-clarke/C001085,Democratic,Michigan,13,House,2011,2013
"Clarke, Yvette D.",https://www.congress.gov/member/yvette-clarke/C001067,Democratic,New York,9,House,2013,inf
"Clarke, Yvette D.",https://www.congress.gov/member/yvette-clarke/C001067,Democratic,New York,11,House,2007,2013
"Clawson, Curt",https://www.congress.gov/member/curt-clawson/C001102,Republican,Florida,19,House,2014,2017
"Clay, Wm. Lacy",https://www.congress.gov/member/wm-clay/C001049,Democratic,Missouri,1,House,2001,inf
"Cleaver, Emanuel",https://www.congress.gov/member/emanuel-cleaver/C001061,Democratic,Missouri,5,House,2005,inf
"Cline, Ben",https://www.congress.gov/member/ben-cline/C001118,Republican,Virginia,6,House,2019,inf
"Clinton, Hillary Rodham",https://www.congress.gov/member/hillary-clinton/C001041,Democratic,New York,N/A,Senate,2001,2009
"Cloud, Michael",https://www.congress.gov/member/michael-cloud/C001115,Republican,Texas,27,House,2018,inf
"Clyburn, James E.",https://www.congress.gov/member/james-clyburn/C000537,Democratic,South Carolina,6,House,1993,inf
"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Republican,Indiana,0,Senate,2011,2017
"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Republican,Indiana,0,Senate,1989,1999
"Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Republican,Indiana,4,House,1981,1989
"Coble, Howard",https://www.congress.gov/member/howard-coble/C000556,Republican,North Carolina,6,House,1985,2015
"Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Republican,Oklahoma,0,Senate,2005,2015
"Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Republican,Oklahoma,2,House,1995,2001
